book_id,user_id,rating,N
1,314,5,181
1,439,3,173
1,588,5,186
1,1169,4,187
1,1185,4,190
1,2077,4,180
1,2487,4,193
1,2900,5,190
1,3662,4,185
1,3922,5,188
1,5379,5,181
1,5461,3,188
1,5885,5,185
1,6630,5,197
1,7563,3,196
1,9246,1,190
1,10140,4,188
1,10146,5,189
1,10246,4,178
1,10335,4,189
1,10610,5,188
1,10944,5,186
1,11854,4,174
1,11927,4,190
1,12471,5,192
1,13282,5,182
1,13544,5,183
1,15494,5,191
1,16377,4,183
1,16913,5,186
1,17434,5,187
1,17663,5,186
1,17984,5,183
1,18031,5,185
1,18313,5,183
1,18361,4,187
1,20076,3,179
1,20467,3,185
1,20848,5,177
1,21228,5,187
1,21487,4,186
1,21713,5,190
1,22602,4,186
1,23576,4,182
1,23612,4,187
1,24326,5,187
1,24389,4,174
1,24499,5,193
1,24834,4,189
1,24845,5,185
1,25164,4,193
1,25182,5,189
1,25214,4,178
1,26145,4,193
1,26629,4,193
1,26661,4,173
1,28158,4,199
1,28767,5,193
1,29123,3,183
1,29703,5,188
1,30681,5,190
1,31001,4,167
1,32055,4,190
1,32305,5,193
1,32592,4,172
1,32635,5,183
1,32748,5,193
1,32923,5,189
1,33065,4,195
1,33697,4,188
1,33716,5,186
1,33872,5,185
1,33890,3,184
1,37284,5,188
1,37834,5,195
1,38080,4,177
1,38082,5,188
1,38475,4,191
1,39423,3,176
1,41074,3,182
1,42404,5,187
1,43985,4,182
1,44243,2,179
1,44397,5,187
1,45269,4,183
1,45493,5,185
1,46977,4,187
1,47476,4,188
1,47746,5,174
1,47800,5,188
1,48482,3,191
1,49298,4,186
1,50104,5,189
1,50342,3,170
1,51166,4,186
1,51460,3,187
1,51480,1,184
1,51838,5,185
1,52036,2,199
1,53245,4,188
2,1169,3,187
2,3022,4,177
2,3922,5,188
2,5115,4,187
2,5436,5,182
2,5461,4,188
2,5885,4,185
2,6063,1,185
2,6342,3,192
2,6630,5,197
2,8167,2,193
2,9731,4,195
2,10111,5,185
2,10140,3,188
2,10288,5,194
2,10509,2,195
2,10610,5,188
2,10751,3,186
2,10944,5,186
2,11285,4,190
2,11408,5,183
2,11691,4,185
2,11692,3,190
2,11868,5,184
2,11927,5,190
2,11945,5,189
2,12874,4,200
2,12946,5,190
2,13282,5,182
2,13794,1,187
2,14372,3,196
2,14546,5,186
2,14603,4,189
2,15604,4,196
2,16913,2,186
2,17434,5,187
2,17566,4,194
2,17643,1,190
2,17663,5,186
2,17984,5,183
2,18313,5,183
2,18361,4,187
2,19526,4,188
2,19724,5,187
2,19729,4,196
2,19942,5,187
2,21217,4,185
2,21228,4,187
2,21487,5,186
2,21676,5,188
2,21733,5,190
2,22602,4,186
2,23576,5,182
2,23612,5,187
2,24499,5,193
2,24834,4,189
2,25164,4,193
2,25182,5,189
2,26145,4,193
2,26629,4,193
2,27499,5,188
2,28767,4,193
2,30313,5,187
2,30681,4,190
2,30944,5,200
2,32055,4,190
2,32305,5,193
2,32592,4,172
2,32635,4,183
2,32748,5,193
2,32918,5,183
2,33065,5,195
2,33697,4,188
2,33716,5,186
2,33872,5,185
2,36099,5,185
2,37834,4,195
2,38082,5,188
2,42404,5,187
2,42508,4,189
2,42810,4,189
2,45269,4,183
2,45493,5,185
2,46421,5,185
2,46977,3,187
2,47476,3,188
2,47478,2,186
2,47800,5,188
2,48482,5,191
2,48559,5,185
2,48687,1,192
2,49298,5,186
2,50096,5,185
2,50104,5,189
2,50133,5,189
2,51166,5,186
2,51460,4,187
2,51838,4,185
2,52036,3,199
2,53292,5,191
3,314,3,181
3,588,1,186
3,2077,2,180
3,2487,3,193
3,2900,3,190
3,3662,4,185
3,4536,1,182
3,5115,4,187
3,5272,5,186
3,5461,2,188
3,5885,4,185
3,6063,5,185
3,6630,5,197
3,6634,3,162
3,7001,4,189
3,9246,1,190
3,9731,2,195
3,9771,3,170
3,10140,3,188
3,10246,1,178
3,10249,5,190
3,10509,1,195
3,10610,1,188
3,10751,1,186
3,10944,1,186
3,11285,2,190
3,11408,3,183
3,11599,4,176
3,11854,1,174
3,11927,4,190
3,12471,2,192
3,12946,4,190
3,13274,5,184
3,13282,5,182
3,13794,1,187
3,14546,5,186
3,15604,1,196
3,16377,1,183
3,16569,1,188
3,16913,4,186
3,17434,4,187
3,17663,4,186
3,18031,3,185
3,18313,5,183
3,19724,4,187
3,19942,4,187
3,19984,2,175
3,20076,3,179
3,20782,4,185
3,20848,4,177
3,21228,3,187
3,21487,3,186
3,21733,1,190
3,22602,3,186
3,23576,1,182
3,23612,3,187
3,24326,3,187
3,24389,3,174
3,25182,3,189
3,25214,1,178
3,26398,2,169
3,26629,4,193
3,28767,3,193
3,29703,1,188
3,30681,4,190
3,32305,1,193
3,32592,5,172
3,32635,4,183
3,32918,5,183
3,33065,1,195
3,33716,3,186
3,36099,4,185
3,36240,2,166
3,37284,1,188
3,37834,4,195
3,37855,3,169
3,38080,5,177
3,38082,3,188
3,38475,3,191
3,42404,5,187
3,43602,4,192
3,43985,2,182
3,46977,2,187
3,47746,5,174
3,48482,3,191
3,48687,1,192
3,49288,5,193
3,49289,5,192
3,49295,5,192
3,49297,5,192
3,49298,1,186
3,50096,5,185
3,50101,5,187
3,50102,5,177
3,50104,5,189
3,50133,5,189
3,51166,3,186
3,51460,2,187
3,52036,1,199
3,53292,5,191
4,439,5,173
4,1169,5,187
4,2324,5,188
4,2487,5,193
4,3739,5,192
4,3922,4,188
4,4606,1,183
4,5115,5,187
4,5436,5,182
4,6342,5,192
4,6630,4,197
4,8167,5,193
4,8178,5,182
4,9246,4,190
4,10140,4,188
4,11285,3,190
4,11691,5,185
4,11692,5,190
4,11868,3,184
4,11945,5,189
4,12381,5,199
4,12874,5,200
4,12946,5,190
4,13034,4,185
4,13776,4,190
4,13794,4,187
4,14192,4,189
4,14207,3,174
4,14546,5,186
4,14603,5,189
4,15604,3,196
4,17228,5,178
4,17643,5,190
4,17663,5,186
4,17984,5,183
4,18031,5,185
4,18313,5,183
4,19526,5,188
4,19724,5,187
4,19729,4,196
4,20406,2,182
4,20467,4,185
4,21217,4,185
4,21228,3,187
4,21487,5,186
4,21676,3,188
4,21733,5,190
4,23576,5,182
4,24326,5,187
4,25164,5,193
4,25182,5,189
4,25840,3,195
4,26579,3,184
4,26629,4,193
4,26661,5,173
4,27499,5,188
4,27834,5,186
4,27934,4,189
4,28767,5,193
4,29123,3,183
4,29703,5,188
4,30283,4,186
4,30313,5,187
4,30681,5,190
4,30944,5,200
4,32305,5,193
4,32338,4,182
4,32592,5,172
4,32745,4,194
4,32748,5,193
4,32918,5,183
4,32923,5,189
4,33065,5,195
4,33697,5,188
4,33716,4,186
4,33872,5,185
4,34688,4,183
4,36099,5,185
4,37284,3,188
4,37834,4,195
4,39423,5,176
4,42404,5,187
4,43985,5,182
4,44243,3,179
4,44397,5,187
4,45269,5,183
4,46482,5,190
4,47411,4,187
4,47730,5,185
4,47800,5,188
4,48482,3,191
4,48559,5,185
4,48687,5,192
4,49298,5,186
4,50102,5,177
4,51460,5,187
4,51838,4,185
4,52036,3,199
4,53245,5,188
4,53292,5,191
5,314,4,181
5,1169,5,187
5,1952,5,189
5,2324,5,188
5,2487,3,193
5,2900,5,190
5,3022,1,177
5,3662,4,185
5,3739,5,192
5,3922,2,188
5,5115,3,187
5,5461,5,188
5,6342,5,192
5,6630,3,197
5,7001,5,189
5,8167,4,193
5,8370,3,185
5,9246,3,190
5,10111,5,185
5,10246,4,178
5,10402,4,189
5,10944,3,186
5,11691,5,185
5,11692,4,190
5,11868,3,184
5,11927,5,190
5,11945,4,189
5,12381,4,199
5,12476,5,183
5,12874,4,200
5,12946,5,190
5,13034,4,185
5,13776,4,190
5,13794,2,187
5,14546,2,186
5,14603,4,189
